TestID,URL,NameSelector,EmailSelector,CommentSelector,SubmitSelector,ResultSelector,Name,Email,Comment,ExpectedResult
TC-001-011,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,ValidName,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Thank you for your comment. It has been submitted to the webmaster for approval.
TC-001-012,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,ValidName,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Comment Text must be between 25 and 1000 characters!
TC-001-013,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Thank you for your comment. It has been submitted to the webmaster for approval.
TC-001-014,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AA,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Comment Name must be between 3 and 25 characters!
TC-001-015,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAAAAAAAAAAAAAAAAAA,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Comment Name must be between 3 and 25 characters!
TC-001-016,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,nameexample.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Invalid email id!
TC-001-017,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,name@,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Invalid email id!
TC-001-018,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Invalid email id!
TC-001-019,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,name@@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Invalid email id!
TC-001-020,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,name@example.com,AAAAAAAAAA,Warning: Comment Text must be between 25 and 1000 characters!
TC-001-021,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Comment Text must be between 25 and 1000 characters!
TC-001-022,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Thank you for your comment. It has been submitted to the webmaster for approval.
TC-001-023,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AA,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Comment Name must be between 3 and 25 characters!
TC-001-024,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,nameexample.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Invalid email id!
TC-001-025,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,name@example.com,AAAAAAAAAA,Warning: Comment Text must be between 25 and 1000 characters!
TC-001-026,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AA,name@,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Comment Name must be between 3 and 25 characters! || Warning: Invalid email id!
TC-001-027,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AA,name@example.com,AAAAAAAAAA,Warning: Comment Name must be between 3 and 25 characters! || Warning: Comment Text must be between 25 and 1000 characters!
TC-001-028,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,@example.com,AAAAAAAAAA,Warning: Invalid email id! || Warning: Comment Text must be between 25 and 1000 characters!
TC-001-029,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AA,@example.com,AAAAAAAAAA,Warning: Comment Name must be between 3 and 25 characters! || Warning: Invalid email id! || Warning: Comment Text must be between 25 and 1000 characters!
TC-001-030,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Thank you for your comment. It has been submitted to the webmaster for approval.
TC-001-031,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AA,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Comment Name must be between 3 and 25 characters!
TC-001-032,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,name@,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Warning: Invalid email id!
TC-001-033,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAA,name@example.com,AAAAAAAAAA,Warning: Comment Text must be between 25 and 1000 characters!
